"DATE","MERCHANT NAME","BRANCH NAME","PPN","TOTAL TRANASCTION"
"01 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","770518","59"
"02 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","771213","74"
"03 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","609955","46"
"04 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","121210","12"
"05 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","157565","14"
"06 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","163485","22"
"07 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","180320","15"
"08 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","112010","14"
"09 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","145072.5","20"
"10 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","130640","15"
"11 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","425985","48"
"12 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","412135","46"
"13 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","710110","66"
"14 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","1066840","79"
"15 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","837655","78"
"16 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","1006515","74"
"17 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","775203","70"
"18 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","768170","54"
"19 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","596570","48"
"20 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","689450","56"
"21 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","558065","57"
"22 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","968340","68"
"23 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","847845","72"
"24 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","595510","50"
"25 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","264475","28"
"26 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","439455","46"
"27 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","836350","74"
"28 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","1194020","78"
"29 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","1033040","63"
"30 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","1116200","83"
"31 January 2020","GADO GADO BOPLO","GADO GADO BOPLO CASABLANCA","906505","73"
