"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"01 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4631564","69"
"02 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2745824","50"
"03 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3663678","60"
"04 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2810802","45"
"05 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3345254","53"
"06 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3475067","48"
"07 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2859456","51"
"08 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2388392","50"
"09 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2353094","43"
"10 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2644912","44"
"11 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2369524","42"
"12 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2391890","38"
"13 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2063502","44"
"14 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3069124","44"
"15 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2951252","61"
"16 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2583644","45"
"17 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2655194","41"
"18 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2082900","44"
"19 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2832108","50"
"20 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2541032","52"
"21 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2685579","45"
"22 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3057570","59"
"23 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2931430","53"
"24 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2157354","38"
"25 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2553752","40"
"26 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2982310","47"
"27 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3223990","50"
"28 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3103468","59"
"29 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4508710","67"
"30 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3941716","63"
"31 March 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3416168","57"
