"DATE","MERCHANT NAME","BRANCH NAME","PPN","TOTAL TRANASCTION"
"01 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2590534","45"
"02 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","1725256","38"
"03 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2349983","61"
"04 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3099122","59"
"05 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3812820","61"
"06 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3653714","54"
"07 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3009870","48"
"08 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2337724","44"
"09 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4195692","44"
"10 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2560218","31"
"11 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3234166","51"
"12 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3441396","29"
"13 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4255370","50"
"14 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2596894","48"
"15 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2190702","35"
"16 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2568168","49"
"17 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4330397","54"
"18 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","1756314","25"
"19 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4770530","58"
"20 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","6894028","79"
"21 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2400476","41"
"22 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","1979232","31"
"23 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4603580","66"
"24 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4248480","62"
"25 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2581630","39"
"26 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","2861576","56"
"27 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","4054288","62"
"28 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","1822352","30"
"29 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","1376940","30"
"30 December 2019","GYU-KAKU","GYU KAKU SETIA BUDI","3312034","50"
