"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"01 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","457210","13"
"02 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","194010","8"
"03 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","302060","7"
"04 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","496610","13"
"05 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","777570","19"
"06 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","198130","8"
"07 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","271660","9"
"08 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","422570","10"
"09 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","472660","8"
"10 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","196090","7"
"11 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","465920","13"
"12 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","987830","21"
"13 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","386220","13"
"14 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","29400","1"
"15 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","128600","5"
"16 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","120900","6"
"17 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","93600","5"
"18 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","90800","7"
"19 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","144600","7"
"20 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","119900","5"
"21 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","36000","3"
"22 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","91600","4"
"23 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","64500","4"
"24 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","133200","8"
"25 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","157100","7"
"26 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","145100","8"
"27 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","137400","7"
"28 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","93700","8"
"29 September 2020","ILLUA RESTORAN","ILLUA RESTORAN","96700","4"
