"Wajib Pajak","Outlet","NPWP","NOPD","No Bill","Tanggal","Total Amount","Service Charge","PPN","Total Trx Amount","Jenis Pembayaran"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004016","01 January 2021 11:37:00","31818.18","0","3181.82","35000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004048","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004032","01 January 2021 11:37:00","29090.91","0","2909.09","32000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004017","01 January 2021 11:37:00","43636.36","0","4363.64","48000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004049","01 January 2021 11:37:00","18181.82","0","1818.18","20000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004033","01 January 2021 11:37:00","25454.55","0","2545.46","28000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004034","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004018","01 January 2021 11:37:00","63636.36","0","6363.64","70000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004050","01 January 2021 11:37:00","40909.09","0","4090.91","45000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004035","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004019","01 January 2021 11:37:00","36363.64","0","3636.36","40000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004051","01 January 2021 11:37:00","41818.18","0","4181.82","46000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004036","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004020","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004052","01 January 2021 11:37:00","45454.55","0","4545.46","50000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004037","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004021","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004005","01 January 2021 11:37:00","54545.45","0","5454.54","60000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004038","01 January 2021 11:37:00","43636.36","0","4363.64","48000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004022","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004006","01 January 2021 11:37:00","43636.36","0","4363.64","48000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004039","01 January 2021 11:37:00","36363.64","0","3636.36","40000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004023","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004007","01 January 2021 11:37:00","63636.36","0","6363.64","70000","CASH"
"XXI CAFE","XXI CAFE GRAND PARAGON","87.3.03.02.1.0752","108.17.05.02.0029","881004008","01 January 2021 11:37:00","22727.27","0","2272.73","25000","CASH"
