"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"01 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","793576","43"
"02 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","968503","45"
"03 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","785900","34"
"04 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","856894","47"
"05 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","573187","34"
"06 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","627810","41"
"07 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1090063","47"
"08 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1050120","46"
"09 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","788306","40"
"10 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","943030","40"
"11 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","507152","25"
"12 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","533285","26"
"13 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","948968","49"
"14 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","766968","39"
"15 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1006968","40"
"16 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","941478","42"
"17 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","976994","44"
"18 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","770308","39"
"19 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1120601","54"
"20 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","862570","39"
"21 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","925394","50"
"22 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1453908","60"
"23 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1281392","55"
"24 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","962298","49"
"25 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","779122","42"
"26 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1012883","47"
"27 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","800930","41"
"28 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1153326","52"
"29 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","2162470","76"
"30 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1794382","73"
"31 October 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1451160","58"
