"","","","","","","","","","",""
"1","PHO 24","1","PHO 24 JGC","KS20180100415/034","01 February 2020","CHICKEN WING","MAKANAN","36000","1","36000"
"1","PHO 24","1","PHO 24 JGC","KS20180100415/034","01 February 2020","PHO ALL","MAKANAN","69000","3","207000"
"1","PHO 24","1","PHO 24 JGC","KS20180100415/034","01 February 2020","MINT TEA COLD","MINUMAN","15000","3","45000"
"1","PHO 24","1","PHO 24 JGC","KS20180100415/034","01 February 2020","PHO ALL","MAKANAN","69000","3","207000"
"1","PHO 24","1","PHO 24 JGC","KS20180100415/034","01 February 2020","TW CONTAINER","Other","1500","3","4500"
"1","PHO 24","1","PHO 24 JGC","KS20180100415/034","01 February 2020","PHO CHIN (S)","MAKANAN","55000","1","55000"
"1","PHO 24","1","PHO 24 JGC","KS20180100415/034","01 February 2020","TW CONTAINER","Other","1500","1","1500"
