"DATE","MERCHANT NAME","BRANCH NAME","PPN","TOTAL TRANASCTION"
"01 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","442063.0065872521","22"
"02 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","942261.0140407835","41"
"03 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1095803.016328737","44"
"04 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","468556.0069820284","19"
"05 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","569320.0084835291","19"
"06 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1386178.020655662","53"
"07 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","846015.0126066062","43"
"08 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1565735.02333127","62"
"09 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1179516.017576158","45"
"10 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1333173.019865826","59"
"11 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","395231.0058894011","18"
"12 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","291336.0043412446","12"
"13 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","886706.0132129492","40"
"14 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1234346.018393189","53"
"15 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1334448.019884825","54"
"16 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1322752.019710541","55"
"17 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1408713.020991459","56"
"18 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","297971.0044401134","13"
"19 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","248809.003707543","16"
"20 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1122307.416723684","46"
"21 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","861193.4128327814","38"
"22 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","902201.8134438545","47"
"23 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1345828.72005441","64"
"24 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1570876.323407881","68"
"25 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","365846.8054515421","17"
"26 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","395497.2058933673","19"
"27 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1062850.615837708","51"
"28 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1261808.118802406","61"
"29 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1419986.421159446","55"
"30 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1706886.625434592","64"
"31 January 2020","CHOP BUNTUT","CHOP BUNTUT ARCADIA GREEN PARK","1059039.315780915","49"
