"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002581","2019-04-13 00:00:00","476000","0","0","555016","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002611","2019-04-13 00:00:00","1190000","0","0","1387540","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002582","2019-04-13 00:00:00","494000","0","0","576004","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002612","2019-04-13 00:00:00","602000","0","0","701932","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002613","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002583","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002614","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002584","2019-04-13 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002615","2019-04-13 00:00:00","1208000","0","0","1408528","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002585","2019-04-13 00:00:00","952000","0","0","1110032","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002616","2019-04-13 00:00:00","476000","0","0","555016","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002586","2019-04-13 00:00:00","434000","0","0","506044","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002617","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
