"Wajib Pajak","Outlet","NPWP","NOPD","No Bill","Tanggal","Total Amount","Service Charge","PPN","Total Trx Amount","Jenis Pembayaran"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000038","02 January 2020","238000","14280","25228","277508","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000039","02 January 2020","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000040","02 January 2020","89000","5340","9434","103774","CASH"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000041","02 January 2020","674000","40440","71444","785884","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000042","02 January 2020","304000","18240","32224","354464","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000043","02 January 2020","256000","15360","27136","298496","OVO"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000044","02 January 2020","304000","18240","32224","354464","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000045","02 January 2020","2618000","157080","277508","3052588","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000046","02 January 2020","178000","10680","18868","207548","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000047","02 January 2020","1190000","71400","126140","1387540","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000048","02 January 2020","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000049","02 January 2020","205000","12300","21730","239030","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000050","02 January 2020","360000","21600","38160","419760","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000051","02 January 2020","365000","21900","38690","425590","GoPay"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000052","02 January 2020","105000","6300","11130","122430","GoPay"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000053","02 January 2020","389000","23340","41234","453574","EDC BCA (m)"
"GYU-KAKU","GYU KAKU SETIA BUDI","15.3.06.01.1.0004","106.19.05.05.0012","A20000000054","02 January 2020","395000","23700","41870","460570","EDC BCA (m)"
