"DATE","MERCHANT NAME","BRANCH NAME","PPN","TOTAL TRANASCTION"
"13 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","9416283","772"
"14 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","638615","56"
"15 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","554810","52"
"16 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","799400","68"
"17 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","720710","80"
"18 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","710300","56"
"19 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","699285","59"
"20 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","576080","60"
"21 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","364080","42"
"22 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","746975","67"
"23 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","862630","51"
"25 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","1537500","113"
"27 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","726930","60"
"28 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","367780","35"
"29 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","1191816","122"
"31 January 2020","GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","300320","29"
