"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"01 October 2021","Angus House","Angus House","5292166","22"
"02 October 2021","Angus House","Angus House","8109035","30"
"03 October 2021","Angus House","Angus House","5735400","32"
"04 October 2021","Angus House","Angus House","1916750","12"
"05 October 2021","Angus House","Angus House","2843775","18"
"06 October 2021","Angus House","Angus House","2875840","13"
"07 October 2021","Angus House","Angus House","2505371","14"
"08 October 2021","Angus House","Angus House","4588980","25"
"09 October 2021","Angus House","Angus House","8793125","42"
"10 October 2021","Angus House","Angus House","7034005","36"
"11 October 2021","Angus House","Angus House","1801297","13"
"12 October 2021","Angus House","Angus House","3000272","17"
"13 October 2021","Angus House","Angus House","2718870","15"
"14 October 2021","Angus House","Angus House","2493887","13"
"15 October 2021","Angus House","Angus House","1355860","10"
"16 October 2021","Angus House","Angus House","8987330","44"
"17 October 2021","Angus House","Angus House","9043485","39"
"18 October 2021","Angus House","Angus House","2262975","10"
"19 October 2021","Angus House","Angus House","5232700","18"
"20 October 2021","Angus House","Angus House","6930715","34"
"21 October 2021","Angus House","Angus House","3597440","19"
"22 October 2021","Angus House","Angus House","5891985","25"
"23 October 2021","Angus House","Angus House","8252365","36"
"24 October 2021","Angus House","Angus House","8578185","37"
"25 October 2021","Angus House","Angus House","3610800","19"
"26 October 2021","Angus House","Angus House","3059375","15"
"27 October 2021","Angus House","Angus House","401830","6"
"28 October 2021","Angus House","Angus House","6093962","18"
"29 October 2021","Angus House","Angus House","4727910","24"
"30 October 2021","Angus House","Angus House","8779430","50"
"31 October 2021","Angus House","Angus House","11395329","46"
