"","","","","","","","","","",""
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32357","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32357","08 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32357","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32357","08 January 2020","Teh O Tawar Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32357","08 January 2020","Mineral Water","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32350","08 January 2020","Garang Asem Iga","","59800","1","59800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32350","08 January 2020","Sop Komplit Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32350","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32358","08 January 2020","Sop Kikil + Paru Cak Yo","","41800","2","83600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32358","08 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32358","08 January 2020","Teh O Tawar Hangat","","11800","2","23600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32352","08 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32352","08 January 2020","Sop Lidah + Paru Cak Yo","","41800","2","83600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32352","08 January 2020","Teh O Tawar Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32361","08 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32361","08 January 2020","Sop Lidah + Paru Cak Yo","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32361","08 January 2020","Sop Kikil + Paru Original","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32361","08 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Kari Lidah","","44800","1","44800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Sop Daging Iga + Lidah Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Nasi G.B - Babat Cabe Ijo","","39800","1","39800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Guava Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32353","08 January 2020","Kopi O Tawar Hangat","","20800","1","20800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32349","08 January 2020","Sop Daging Iga + Paru Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32349","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32349","08 January 2020","Bakmi Kecap Iga","","45800","1","45800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32349","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32349","08 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32349","08 January 2020","Telur Mata Sapi","","8000","1","8000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32359","08 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32359","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32359","08 January 2020","Iced Lemon Tea","","19800","2","39600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32359","08 January 2020","Nasi D.Asap - Hati Ampela","","39800","1","39800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32359","08 January 2020","Pangsit Goreng Ayam","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32356","08 January 2020","Sop Daging Iga + Lidah Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32356","08 January 2020","Sop Daging Iga + Kikil Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32356","08 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32356","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32356","08 January 2020","Teh O Tawar Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Kari Daging Iga","","61800","1","61800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Sop Lidah Cak Yo","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Sop Daging Iga + Babat Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Nasi Putih","","8800","3","26400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Tahu Goreng","","24800","1","24800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Melon Selasih Drink","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Mineral Water","","9800","5","49000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Hot Lemon Tea","","19800","2","39600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Teh O Manis Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Teh O Manis Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32354","08 January 2020","Emping","","10000","2","20000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32351","08 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32351","08 January 2020","Sop Daging Iga + Lidah Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32351","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32351","08 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32351","08 January 2020","Mineral Water","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32367","08 January 2020","Sop Buntut Special Original","","64800","2","129600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32367","08 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32367","08 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32367","08 January 2020","Mineral Water","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32364","08 January 2020","Sop Collagen Ayam","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32364","08 January 2020","Nasi G.B - Seafood","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32364","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32364","08 January 2020","Teh O Tawar Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Sop Babat + Paru Original","","39800","2","79600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Nasi Putih","","8800","3","26400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","2","63600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Mineral Water","","9800","3","29400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32369","08 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32355","08 January 2020","Kari Babat","","42800","1","42800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32355","08 January 2020","Tempe Goreng","","24800","1","24800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32355","08 January 2020","Tahu Goreng","","24800","1","24800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32355","08 January 2020","Teh O Tawar Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32366","08 January 2020","Sop Buntut Premium Original","","88800","1","88800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32366","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32366","08 January 2020","Extra Soup Original","","6000","1","6000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32366","08 January 2020","Nasi D.Asap - Daging Ayam","","40800","1","40800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32366","08 January 2020","Teh O Tawar Hangat","","11800","2","23600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Sop Daging Iga Original","","56800","2","113600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Sop Daging Iga + Lidah Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Sop Daging Iga + Babat Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Nasi Putih","","8800","5","44000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Bakso Buntut Urat","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Nasi D.Asap - Daging Ayam","","40800","1","40800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Nasi D.Asap - Lidah","","42800","1","42800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Pangsit Goreng Ayam","","31800","2","63600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Teh O Manis Dingin","","11800","4","47200"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Lime Juice","","26800","3","80400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Honeydew Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32365","08 January 2020","Sop Daging Iga Cak Yo","","56800","1","56800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32368","08 January 2020","Garang Asem Iga","","59800","1","59800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32368","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32370","08 January 2020","Kopi Gayo Susu Dingin","","28800","1","28800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32371","08 January 2020","Kopi Gayo Tarik Hangat","","28800","2","57600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32371","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Sop Lidah + Babat Original","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Nasi G.B - Bakso Buntut","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Pangsit Goreng Ayam","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Mineral Water","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Buntut Bakar","","68800","1","68800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Carrot Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32372","08 January 2020","Sop Daging Iga Original","","56800","1","56800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32373","08 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32373","08 January 2020","Mie Telor","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32375","08 January 2020","Nasi G.B - Kikil Cabe Ijo","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32375","08 January 2020","Teh Susu Dingin","","23800","1","23800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32375","08 January 2020","Nasi G.B - Kikil Cabe Ijo","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32374","08 January 2020","Nasi G.B - Daging Iga Cabe Ijo","","52800","1","52800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32378","08 January 2020","Sop Daging Iga + Lidah Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32378","08 January 2020","Sop Babat + Paru Cak Yo","","39800","1","39800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32378","08 January 2020","Cucumber Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32378","08 January 2020","Kopi O Manis Dingin","","20800","1","20800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32378","08 January 2020","Kulit Pangsit Goreng (4 pcs)","","18800","1","18800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32376","08 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32376","08 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32376","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32376","08 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32376","08 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32376","08 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32380","08 January 2020","Sop Rusuk Sum Sum Cak Yo","","89800","1","89800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32380","08 January 2020","Kopi Gayo Tarik Dingin","","28800","1","28800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32380","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32380","08 January 2020","Hot Lemon Tea","","19800","1","19800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32379","08 January 2020","Sop Buntut Premium Cak yo","","88800","1","88800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32379","08 January 2020","Tomato Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32379","08 January 2020","Hot Lemon Tea","","19800","1","19800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32381","08 January 2020","Sop Daging Iga Cak Yo","","56800","1","56800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32381","08 January 2020","Kopi O Gayo Tawar Hangat","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32381","08 January 2020","Iced Lemon Tea","","19800","1","19800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32383","08 January 2020","Bakso Buntut Urat","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32383","08 January 2020","Kedondong Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32377","08 January 2020","Sop Buntut Special Original","","64800","2","129600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Sop Daging Iga Original","","56800","1","56800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Nasi G.B - Seafood","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Mie G.B - Seafood","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Belimbing Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Honeydew Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Teh Susu","","23800","1","23800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Nasi G.B - Seafood","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Mie G.B - Seafood","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Tomato Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32384","08 January 2020","Mineral Water","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32382","08 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32382","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32382","08 January 2020","Cucumber Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32385","08 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32385","08 January 2020","Sop Lidah + Paru Cak Yo","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32385","08 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32385","08 January 2020","Nasi Putih","","8800","3","26400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32385","08 January 2020","Teh O Tawar Hangat","","11800","3","35400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32385","08 January 2020","Kedondong Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32385","08 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32387","08 January 2020","Sop Daging Iga + Kikil Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32387","08 January 2020","Garang Asem Iga","","59800","1","59800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32387","08 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32387","08 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32387","08 January 2020","Mixed Juice (any 2)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Sop Rusuk Sum Sum Original","","89800","6","538800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Nasi Putih","","8800","6","52800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","2","63600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Pangsit Goreng Ayam","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Lime Juice","","26800","3","80400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Kopi O Gayo Tawar Dingin","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Emping","","10000","2","20000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Pangsit Goreng Ayam","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","2","63600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Mineral Water","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32388","08 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32386","08 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32389","08 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32389","08 January 2020","Sop Babat + Paru Original","","39800","1","39800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32389","08 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32389","08 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32389","08 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32391","08 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32391","08 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32391","08 January 2020","Kopi Gayo Tarik Dingin","","28800","1","28800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32390","08 January 2020","Coca Cola","","13800","2","27600"
