"","","","","","","","","","",""
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Kari Buntut Cak Yo","","71800","1","71800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Nasi G.B - Keju","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Teh O Tawar Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Kopi Gayo Susu Dingin","","28800","1","28800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Emping","","10000","1","10000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Nasi G.B - Keju","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32099","01 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Sop Buntut Special Original","","64800","3","194400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Sop Daging Iga Original","","56800","2","113600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Sop Babat Original","","39800","1","39800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Sop Daging Iga + Babat Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Nasi Putih","","8800","5","44000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Bakmi Kecap Iga","","45800","1","45800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Honeydew Juice","","26800","2","53600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Iced Lemon Tea","","19800","1","19800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Teh O Manis Dingin","","11800","5","59000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Teh Susu","","23800","1","23800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32101","01 January 2020","Teh Susu Dingin","","23800","1","23800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32100","01 January 2020","Nasi G.B - Bakso Buntut","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32100","01 January 2020","Nasi G.B - Daging Iga Cabe Ijo","","52800","1","52800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32100","01 January 2020","Sop Daging Iga + Lidah Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32100","01 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32100","01 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32102","01 January 2020","Rawon Iga","","59800","1","59800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32102","01 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32102","01 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32103","01 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
