"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110917","2019-12-31 10:54:50","115000","8625","12362.5","135987","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110918","2019-12-31 11:16:01","302000","22650","32465","357115"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110919","2019-12-31 11:27:09","171000","0","17100","188100","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110920","2019-12-31 12:08:26","625000","46875","67187.5","739062"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110921","2019-12-31 12:08:37","293000","21975","31497.5","346472","BCA VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110922","2019-12-31 12:16:19","175000","13125","18812.5","206937","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110923","2019-12-31 12:17:31","230000","17250","24725","271975"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110924","2019-12-31 12:17:57","495000","37125","53212.5","585337","GOPAY (EDC)"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110925","2019-12-31 12:43:14","130000","9750","13975","153725","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110926","2019-12-31 12:43:31","220000","16500","23650","260150"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110927","2019-12-31 12:52:04","169000","12675","18167.5","199842","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110928","2019-12-31 13:24:06","420000","31500","45150","496650","BANK LAIN DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110929","2019-12-31 13:24:21","170000","12750","18275","201025","BCA VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110930","2019-12-31 13:34:01","1003000","75225","107823","1186050","BANK LAIN VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110931","2019-12-31 13:35:09","170000","12750","18275","201025","BANK LAIN DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110932","2019-12-31 13:36:56","471000","35325","50632.5","556957","BANK LAIN VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110933","2019-12-31 13:40:29","240000","18000","25800","283800","BANK LAIN DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110934","2019-12-31 13:44:36","540000","40500","58050","638550","BANK LAIN DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110935","2019-12-31 13:44:48","462000","34650","49665","546315","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110936","2019-12-31 13:46:46","290000","21750","31175","342925"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110937","2019-12-31 13:54:08","179636","0","17963.599609375","197599","GOPAY (GO-RESTO)"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110938","2019-12-31 13:54:58","80000","6000","8600","94600","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110939","2019-12-31 13:57:39","520000","39000","55900","614900","BANK LAIN VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110940","2019-12-31 14:06:42","235000","17625","25262.5","277887","BANK LAIN VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110941","2019-12-31 14:13:20","95000","7125","10212.5","112337"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110942","2019-12-31 14:31:20","567000","42525","60952.5","670477","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110943","2019-12-31 14:39:39","85000","6375","9137.5","100512","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110944","2019-12-31 14:42:43","310000","23250","33325","366575"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110945","2019-12-31 14:42:56","175000","13125","18812.5","206937","BCA CARD \ BATIK"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110946","2019-12-31 14:44:05","927000","69525","99652.5","1096180","BANK LAIN VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110947","2019-12-31 15:11:16","325000","24375","34937.5","384312","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110948","2019-12-31 15:14:36","140000","10500","15050","165550","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110949","2019-12-31 15:36:46","100000","0","10000","110000","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110950","2019-12-31 15:37:42","1515000","0","151500","1666500","BANK LAIN VISA \ MASTER"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110951","2019-12-31 15:40:03","435000","32625","46762.5","514387"," BCA DEBIT"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110952","2019-12-31 15:45:42","75000","5625","8062.5","88687","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110953","2019-12-31 15:46:07","75000","5625","8062.5","88687","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110954","2019-12-31 15:59:04","30000","2250","3225","35475","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110955","2019-12-31 16:28:01","120000","0","12000","132000","OVO"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110956","2019-12-31 16:30:20","170000","12750","18275","201025","CASH"
"NAMA SUSHI","NAMA SUSHI BAYWALK","135010410001","1031605010004","110957","2019-12-31 16:30:34","120000","9000","12900","141900","BANK LAIN VISA \ MASTER"
