"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200356/034","2019-12-02 00:00:00","212000","14840","22684","249524","CASH"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200357/034","2019-12-02 00:00:00","143000","10010","15301","168311","CASH"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200358/034","2019-12-02 00:00:00","206000","14420","22042","242462","CASH"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200359/034","2019-12-02 00:00:00","158000","11060","16906","185966","BCA CARD"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200360/034","2019-12-02 00:00:00","461000","32270","49327","542597","BCA CARD"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200361/034","2019-12-02 00:00:00","190000","13300","20330","223630","KARTU KREDIT VISA"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200362/034","2019-12-02 00:00:00","268000","18760","28676","315436","CASH"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200363/034","2019-12-02 00:00:00","478000","33460","51146","562606","KARTU KREDIT VISA"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200364/034","2019-12-02 00:00:00","145000","10150","15515","170665","KARTU KREDIT MASTER"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200365/034","2019-12-02 00:00:00","177000","12390","18939","208329","CASH"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200366/034","2019-12-02 00:00:00","189000","13230","20223","222453","CASH"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200367/034","2019-12-02 00:00:00","566000","39620","60562","666182","BCA CARD"
"PHO 24","PHO 24 JGC","052070100736","1051705050056","KS20180200368/034","2019-12-02 00:00:00","228000","15960","24396","268356","CASH"
