"Wajib Pajak","Outlet","NPWP","NOPD","No Bill","Tanggal","Total Amount","Service Charge","PPN","Total Trx Amount","Jenis Pembayaran"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820001","02 August 2020","476000","30345","43495","478440","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820002","02 August 2020","506600","37995","54460","717660","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820003","02 August 2020","1610000","120750","173075","1903825","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820005","02 August 2020","428400","32130","46053","506583","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820007","02 August 2020","733000","54975","78798","1519513","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820008","02 August 2020","510000","38250","54825","603075","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820009","02 August 2020","660000","49500","70950","780450","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820010","02 August 2020","220000","16500","23650","260150","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820011","02 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820012","02 August 2020","2300000","0","184000","2024000","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820013","02 August 2020","672000","50400","72240","794640","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820014","02 August 2020","660000","49500","70950","780450","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820015","02 August 2020","360000","0","28800","316800","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820016","02 August 2020","1176000","88200","126420","1390620","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820017","02 August 2020","639200","47940","68714","755854","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820018","02 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820019","02 August 2020","616000","46200","66220","728420","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820020","02 August 2020","336000","25200","36120","397320","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820021","02 August 2020","1176000","88200","126420","1390620","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820022","02 August 2020","504000","37800","54180","595980","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820023","02 August 2020","260000","0","26000","286000","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820024","02 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","010820025","02 August 2020","1116000","83700","119970","1319670","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820001","03 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820002","03 August 2020","348000","26100","37410","411510","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820003","03 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820004","03 August 2020","476000","35700","51170","562870","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820005","03 August 2020","168000","0","16800","184800","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820006","03 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820007","03 August 2020","540000","40500","58050","638550","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820008","03 August 2020","576000","43200","61920","681120","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820009","03 August 2020","428400","32130","46053","985023","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820011","03 August 2020","440000","33000","47300","520300","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820012","03 August 2020","840000","63000","90300","993300","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820013","03 August 2020","576000","43200","61920","681120","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820014","03 August 2020","440000","33000","47300","520300","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820015","03 August 2020","456000","34200","49020","539220","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820016","03 August 2020","684000","51300","73530","808830","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820017","03 August 2020","540000","40500","58050","638550","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820018","03 August 2020","544000","40800","58480","643280","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820019","03 August 2020","440000","33000","47300","520300","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820020","03 August 2020","618000","46350","66435","730785","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820021","03 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820022","03 August 2020","1494000","112050","160605","1766655","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820023","03 August 2020","336000","25200","36120","397320","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","020820024","03 August 2020","780000","58500","83850","922350","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820001","04 August 2020","400000","30000","43000","473000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820002","04 August 2020","296000","0","0","0","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820003","04 August 2020","800000","60000","86000","946000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820004","04 August 2020","840000","63000","90300","993300","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820005","04 August 2020","684000","51300","73530","808830","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820006","04 August 2020","680000","51000","73100","804100","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820007","04 August 2020","592000","44400","63640","700040","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820008","04 August 2020","48000","0","4800","52800","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820009","04 August 2020","188000","0","18800","206800","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820010","04 August 2020","296000","22200","31820","350020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","030820011","04 August 2020","296000","22200","31820","350020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820001","05 August 2020","208000","15600","22360","245960","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820002","05 August 2020","832000","62400","89440","983840","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820003","05 August 2020","740000","55500","79550","875050","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820004","05 August 2020","384000","0","30720","337920","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820005","05 August 2020","1248000","93600","134160","1475760","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820006","05 August 2020","416000","31200","44720","491920","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820007","05 August 2020","1200000","90000","129000","1419000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820008","05 August 2020","336000","0","0","0","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820009","05 August 2020","574000","43050","61705","678755","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820010","05 August 2020","600000","45000","64500","709500","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","040820011","05 August 2020","400000","30000","43000","473000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820001","06 August 2020","336000","0","26880","295680","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820002","06 August 2020","444000","33300","47730","525030","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820003","06 August 2020","1332000","99900","143190","1575090","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820004","06 August 2020","336000","25200","36120","397320","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820005","06 August 2020","296000","22200","31820","350020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820006","06 August 2020","696000","52200","74820","823020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820007","06 August 2020","800000","60000","86000","946000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820008","06 August 2020","800000","60000","86000","946000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820009","06 August 2020","1140000","85500","122550","1348050","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","050820010","06 August 2020","444000","33300","47730","525030","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820001","08 August 2020","336000","0","26880","295680","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820002","08 August 2020","1400000","89250","127925","1407175","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820003","08 August 2020","1020000","76500","109650","1206150","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820004","08 August 2020","296000","22200","31820","350020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820005","08 August 2020","296000","22200","31820","350020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820006","08 August 2020","336000","25200","36120","397320","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820007","08 August 2020","400000","30000","43000","473000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820008","08 August 2020","504000","37800","54180","595980","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820009","08 August 2020","336000","25200","36120","397320","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820010","08 August 2020","800000","60000","86000","946000","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820011","08 August 2020","442000","33150","47515","522665","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820012","08 August 2020","520000","39000","55900","614900","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","060820013","08 August 2020","456000","34200","49020","539220","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","070820001","08 August 2020","296000","22200","31820","350020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","070820002","08 August 2020","592000","44400","63640","700040","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","070820003","08 August 2020","1240000","79050","113305","1246355","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","070820004","08 August 2020","1598000","119850","171785","1889635","Master Card"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","070820005","08 August 2020","148000","11100","15910","175010","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","070820006","08 August 2020","296000","22200","31820","350020","Debit BCA"
"Shabu Ghin","SHABU GIN","161050210002","1061505050169","070820007","08 August 2020","600000","45000","64500","709500","Master Card"
