"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031600","2019-11-05 00:00:00","418000","25080","44308","487388","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012431","2019-11-05 00:00:00","714000","42840","75684","832524","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020159","2019-11-05 00:00:00","1374000","82440","145644","1602084","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012463","2019-11-05 00:00:00","423000","25380","44838","493218","CASH"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027439","2019-11-05 00:00:00","178000","10680","18868","207548","GoPay"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031568","2019-11-05 00:00:00","238000","14280","25228","277508","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027471","2019-11-05 00:00:00","905000","54300","95930","1055230","CASH"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008081","2019-11-05 00:00:00","238000","14280","25228","277508","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031601","2019-11-05 00:00:00","396000","23760","41976","461736","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012432","2019-11-05 00:00:00","89000","5340","9434","103774","CASH"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020160","2019-11-05 00:00:00","68000","4080","7208","79288","CASH"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012464","2019-11-05 00:00:00","476000","28560","50456","555016","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027440","2019-11-05 00:00:00","296000","17760","31376","345136","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031569","2019-11-05 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027472","2019-11-05 00:00:00","235000","14100","24910","274010","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008082","2019-11-05 00:00:00","89000","5340","9434","103774","CASH"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020129","2019-11-05 00:00:00","68000","4080","7208","79288","CASH"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012433","2019-11-05 00:00:00","349000","20940","36994","406934","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020161","2019-11-05 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012465","2019-11-05 00:00:00","337000","20220","35722","392942","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027441","2019-11-05 00:00:00","476000","28560","50456","555016","CASH"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031570","2019-11-05 00:00:00","152000","9120","16112","177232","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027473","2019-11-05 00:00:00","796000","47760","84376","928136","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008083","2019-11-05 00:00:00","796000","47760","84376","928136","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020130","2019-11-05 00:00:00","1592000","95520","168752","1856272","CASH"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012434","2019-11-05 00:00:00","267000","16020","28302","311322","CASH"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020162","2019-11-05 00:00:00","700000","42000","74200","816200","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012466","2019-11-05 00:00:00","195000","11700","20670","227370","CASH"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027442","2019-11-05 00:00:00","58000","3480","6148","67628","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031571","2019-11-05 00:00:00","1190000","71400","126140","1387540","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027474","2019-11-05 00:00:00","327000","19620","34662","381282","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031572","2019-11-05 00:00:00","1190000","71400","126140","1387540","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027475","2019-11-05 00:00:00","616000","36960","65296","718256","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008084","2019-11-05 00:00:00","796000","47760","84376","928136","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020131","2019-11-05 00:00:00","58000","3480","6148","67628","GoPay"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012435","2019-11-05 00:00:00","916000","54960","97096","1068056","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020163","2019-11-05 00:00:00","267000","16020","28302","311322","CASH"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012467","2019-11-05 00:00:00","796000","47760","84376","928136","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027443","2019-11-05 00:00:00","238000","14280","25228","277508","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031573","2019-11-05 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027476","2019-11-05 00:00:00","1592000","95520","168752","1856272","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008085","2019-11-05 00:00:00","714000","42840","75684","832524","CASH"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020132","2019-11-05 00:00:00","426000","25560","45156","496716","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012436","2019-11-05 00:00:00","178000","10680","18868","207548","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020164","2019-11-05 00:00:00","258000","15480","27348","300828","CASH"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012468","2019-11-05 00:00:00","375000","22500","39750","437250","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027444","2019-11-05 00:00:00","1190000","71400","126140","1387540","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031574","2019-11-05 00:00:00","796000","47760","84376","928136","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027477","2019-11-05 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008086","2019-11-05 00:00:00","178000","10680","18868","207548","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020133","2019-11-05 00:00:00","134000","8040","14204","156244","CASH"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012437","2019-11-05 00:00:00","89000","5340","9434","103774","CASH"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020165","2019-11-05 00:00:00","476000","28560","50456","555016","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031542","2019-11-05 00:00:00","183000","10980","19398","213378","GoPay"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027445","2019-11-05 00:00:00","242000","14520","25652","282172","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031575","2019-11-05 00:00:00","555000","33300","58830","647130","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027478","2019-11-05 00:00:00","317000","19020","33602","369622","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008087","2019-11-05 00:00:00","89000","5340","9434","103774","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020134","2019-11-05 00:00:00","714000","42840","75684","832524","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012438","2019-11-05 00:00:00","89000","5340","9434","103774","CASH"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020166","2019-11-05 00:00:00","668000","40080","70808","778888","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031543","2019-11-05 00:00:00","957000","57420","101442","1115862","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027446","2019-11-05 00:00:00","714000","42840","75684","832524","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031576","2019-11-05 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027479","2019-11-05 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008088","2019-11-05 00:00:00","248000","14880","26288","289168","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020135","2019-11-05 00:00:00","476000","28560","50456","555016","CASH"
"GYU-KAKU","GYU-KAKU GANDARIA CITY","153060110004","1061905050102","A19300012439","2019-11-05 00:00:00","714000","42840","75684","832524","CASH"
"GYU-KAKU","GYU-KAKU CITYWALK SUDIRMAN","153060110004","1011605050006","A19050020167","2019-11-05 00:00:00","1592000","95520","168752","1856272","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031544","2019-11-05 00:00:00","1194000","71640","126564","1392204","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027447","2019-11-05 00:00:00","960000","57600","101760","1119360","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU PIM","153060110004","1061705050078","A19140031577","2019-11-05 00:00:00","952000","57120","100912","1110032","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027480","2019-11-05 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU GAJAH MADA","153060110004","1081805080027","A19240008089","2019-11-05 00:00:00","318000","19080","33708","370788","EDC BCA (m)"
