"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"29 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","628944","25"
"30 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","747380","39"
"01 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","894468","49"
"02 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1030358","57"
"03 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1022678","54"
"04 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","880176","48"
"05 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1022106","46"
"06 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","643881","35"
"07 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","680729","38"
"08 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","808910","43"
"09 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1029305","64"
"10 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","960737","48"
"11 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1266083","55"
"12 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","903361","42"
"13 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","481305","30"
"14 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","985516","51"
"15 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","582146","35"
"16 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","630176","39"
"17 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","958609","52"
"18 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1002190","51"
"19 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1031494","47"
"20 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","761696","44"
"21 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","826536","45"
"22 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","725044","33"
"23 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","661806","41"
"24 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","914349","56"
"25 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1101974","57"
"26 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","1166020","54"
"27 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","743605","40"
"28 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","740344","34"
"29 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","777137","35"
"30 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CITYWALK SUDIRMAN","934764","48"
"01 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","106318","6"
"02 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","425544","20"
"03 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","296690","15"
"04 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","1200000","44"
"05 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","825470","31"
"06 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","301626","16"
"07 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","218310","10"
"08 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","314194","35"
"09 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","314747","19"
"10 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","467959","25"
"11 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","1161650","53"
"12 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","813058","32"
"13 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","245333","12"
"14 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","464523","25"
"15 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","321645","18"
"16 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","363875","23"
"17 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","601170","30"
"18 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","1233729","57"
"19 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","1133782","47"
"20 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","468536","20"
"21 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","447640","18"
"22 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","299110","13"
"23 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","493149","23"
"26 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","1664658","67"
"27 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","718228","25"
"28 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","222120","15"
"29 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","593104","25"
"30 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN CENTRAL PARK","538085","39"
"02 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","576146","25"
"03 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","705462","34"
"04 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1248026","51"
"05 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1354934","58"
"06 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","295620","19"
"07 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","483828","27"
"08 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","661518","34"
"09 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","530279","29"
"10 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","404359","22"
"13 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","432957","21"
"14 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","663380","32"
"15 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","797314","39"
"16 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","631123","29"
"17 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","788382","38"
"18 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1716132","66"
"19 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1587417","66"
"20 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","431342","26"
"21 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","649464","29"
"23 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1183786","56"
"24 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1326708","59"
"25 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","2306709","87"
"26 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1822151","83"
"27 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1020442","50"
"28 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","753176","35"
"29 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1062772","45"
"30 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN LIPPO MALL PURI","1131200","48"
"01 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","189028","5"
"03 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","283007","8"
"04 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","235744","8"
"05 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","163668","6"
"06 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","95081","5"
"07 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","139465","5"
"09 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","66940","2"
"11 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","260589","8"
"12 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","177752","8"
"21 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","74726","2"
"22 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","216077","5"
"23 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","81556","5"
"24 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","154742","5"
"25 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","176359","6"
"30 September 2021","MAPOGALMEGI","MAPOGALMEGI SENOPATI","418071","12"
"01 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","24700","3"
"02 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","19218","2"
"03 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","48258","4"
"04 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","37100","4"
"05 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","33963","4"
"06 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","36983","4"
"07 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","23305","2"
"08 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","25831","3"
"09 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","34848","3"
"10 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","44359","5"
"12 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","43337","5"
"13 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","29897","3"
"14 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","9609","1"
"15 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","17720","3"
"16 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","16222","2"
"17 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","30089","4"
"18 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","22535","3"
"19 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","30522","5"
"20 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","38008","4"
"21 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","32125","3"
"22 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","31588","4"
"24 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","22449","2"
"25 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","49114","4"
"26 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","49260","5"
"27 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","37490","3"
"28 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","38705","4"
"30 September 2021","MAPOGALMEGI","MAPOGALMEGI LIPPO MALL KEMANG","17091","2"
"01 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1084858","35"
"02 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1898569","58"
"03 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2911335","79"
"04 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","3562800","89"
"05 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","4563143","102"
"06 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1082363","33"
"07 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1941494","49"
"08 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2012647","54"
"09 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1788931","47"
"10 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2998324","65"
"11 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","3877550","103"
"12 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","4769070","106"
"13 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2804839","45"
"14 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2003032","52"
"15 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1906267","40"
"16 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1934685","47"
"17 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2798790","67"
"18 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","5068674","96"
"19 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","4370384","92"
"20 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1707933","43"
"21 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1923158","52"
"22 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2276562","47"
"23 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1948363","37"
"24 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","2262817","79"
"25 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","3920386","106"
"26 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","3823122","90"
"27 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1342960","36"
"28 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1919498","53"
"29 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1441258","43"
"30 September 2021","MAPOGALMEGI","MAGAL PECENGONGAN","1177855","42"
"01 September 2021","STEAK 21","STEAK 21 MKG 3","275176","14"
"02 September 2021","STEAK 21","STEAK 21 MKG 3","121900","8"
"03 September 2021","STEAK 21","STEAK 21 MKG 3","79712","8"
"04 September 2021","STEAK 21","STEAK 21 MKG 3","266166","15"
"05 September 2021","STEAK 21","STEAK 21 MKG 3","332204","17"
"06 September 2021","STEAK 21","STEAK 21 MKG 3","28620","3"
"07 September 2021","STEAK 21","STEAK 21 MKG 3","168434","12"
"01 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","159742","12"
"02 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","44732","5"
"03 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","137694","11"
"04 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","192496","16"
"05 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","138542","10"
"06 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","119568","11"
"07 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","28938","2"
"08 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","99534","9"
"09 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","71656","6"
"10 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","207336","17"
"11 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","252704","19"
"12 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","219632","19"
"13 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","58830","6"
"14 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","78652","7"
"15 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","64448","7"
"16 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","84270","8"
"17 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","133348","10"
"18 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","129214","12"
"19 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","142994","12"
"20 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","46746","6"
"21 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","84694","8"
"22 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","84694","7"
"23 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","102502","9"
"24 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","191648","15"
"25 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","298814","23"
"26 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","336338","25"
"27 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","147976","11"
"28 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","157092","13"
"29 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","177868","15"
"30 September 2021","STEAK 21","STEAK 21 MALL OF INDONESIA","94446","7"
"01 September 2021","STEAK 21","STEAK 21 JGC","154230","10"
"02 September 2021","STEAK 21","STEAK 21 JGC","89888","6"
"03 September 2021","STEAK 21","STEAK 21 JGC","122112","9"
"04 September 2021","STEAK 21","STEAK 21 JGC","244436","16"
"05 September 2021","STEAK 21","STEAK 21 JGC","216558","12"
"06 September 2021","STEAK 21","STEAK 21 JGC","92114","7"
"07 September 2021","STEAK 21","STEAK 21 JGC","68476","4"
"08 September 2021","STEAK 21","STEAK 21 JGC","49820","5"
"09 September 2021","STEAK 21","STEAK 21 JGC","115858","7"
"10 September 2021","STEAK 21","STEAK 21 JGC","142252","8"
"11 September 2021","STEAK 21","STEAK 21 JGC","230974","16"
"12 September 2021","STEAK 21","STEAK 21 JGC","190816","13"
"13 September 2021","STEAK 21","STEAK 21 JGC","90206","6"
"14 September 2021","STEAK 21","STEAK 21 JGC","43672","4"
"15 September 2021","STEAK 21","STEAK 21 JGC","80348","6"
"16 September 2021","STEAK 21","STEAK 21 JGC","139178","10"
"17 September 2021","STEAK 21","STEAK 21 JGC","78864","6"
"18 September 2021","STEAK 21","STEAK 21 JGC","356372","21"
"19 September 2021","STEAK 21","STEAK 21 JGC","270724","17"
"20 September 2021","STEAK 21","STEAK 21 JGC","75154","6"
"21 September 2021","STEAK 21","STEAK 21 JGC","37418","3"
"22 September 2021","STEAK 21","STEAK 21 JGC","63070","5"
"23 September 2021","STEAK 21","STEAK 21 JGC","120416","9"
"24 September 2021","STEAK 21","STEAK 21 JGC","229808","13"
"25 September 2021","STEAK 21","STEAK 21 JGC","612468","36"
"26 September 2021","STEAK 21","STEAK 21 JGC","679566","35"
"27 September 2021","STEAK 21","STEAK 21 JGC","181896","12"
"28 September 2021","STEAK 21","STEAK 21 JGC","169918","10"
"29 September 2021","STEAK 21","STEAK 21 JGC","146280","9"
"30 September 2021","STEAK 21","STEAK 21 JGC","162392","11"
"01 September 2021","BUMBU SATU","BUMBU SATU","386869","17"
"02 September 2021","BUMBU SATU","BUMBU SATU","551820","15"
"03 September 2021","BUMBU SATU","BUMBU SATU","636093","19"
"05 September 2021","BUMBU SATU","BUMBU SATU","291500","5"
"06 September 2021","BUMBU SATU","BUMBU SATU","432535","12"
"07 September 2021","BUMBU SATU","BUMBU SATU","400750","13"
"08 September 2021","BUMBU SATU","BUMBU SATU","401885","15"
"09 September 2021","BUMBU SATU","BUMBU SATU","178000","6"
"10 September 2021","BUMBU SATU","BUMBU SATU","263043","10"
"11 September 2021","BUMBU SATU","BUMBU SATU","510819","17"
"12 September 2021","BUMBU SATU","BUMBU SATU","426209","15"
"01 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","244950","9"
"02 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","106480","5"
"03 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","135160","5"
"04 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","158400","6"
"05 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","115900","4"
"06 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","95180","5"
"07 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","286910","7"
"08 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","184600","10"
"09 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","114900","6"
"10 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","121080","4"
"11 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","596710","7"
"12 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","279110","9"
"13 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","45740","3"
"14 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","125360","6"
"15 September 2021","ILLUA RESTORAN","ILLUA RESTORAN","167200","5"
"01 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","283672","25"
"03 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","261258","24"
"04 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","346553","19"
"05 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","298212","18"
"06 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","266618","21"
"07 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","173589","22"
"08 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","313873","26"
"09 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","225873","23"
"10 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","155832","15"
"11 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","302403","20"
"12 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","405654","21"
"13 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","184872","23"
"14 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","185622","16"
"15 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","299845","28"
"16 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","310836","27"
"17 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","242796","26"
"18 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","311530","16"
"19 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","188646","14"
"20 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","259087","24"
"21 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","229890","19"
"22 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","433613","44"
"23 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","198890","21"
"24 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","264778","32"
"25 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","221098","19"
"26 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","237493","15"
"27 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","254125","28"
"28 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","283879","26"
"29 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","373922","40"
"30 September 2021","NEGIYA DONBURI","NEGIYA DONBURI CITYWALK","359753","34"
"01 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","212694","12"
"02 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","123218","8"
"03 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","190240","8"
