"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"24 September 2021","BUNGA RAMPAI","BUNGA RAMPAI","2251150","31"
"25 September 2021","BUNGA RAMPAI","BUNGA RAMPAI","3298900","36"
"26 September 2021","BUNGA RAMPAI","BUNGA RAMPAI","2490150","25"
"27 September 2021","BUNGA RAMPAI","BUNGA RAMPAI","1314100","26"
"28 September 2021","BUNGA RAMPAI","BUNGA RAMPAI","3185273","36"
"29 September 2021","BUNGA RAMPAI","BUNGA RAMPAI","3006132","35"
"02 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","316922","21"
"03 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1066176","38"
"04 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","830386","34"
"05 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","830418","35"
"06 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","570890","25"
"07 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","419599","21"
"08 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","616154","32"
"09 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","688764","38"
"10 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","722546","32"
"11 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","637063","29"
"12 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","817521","41"
"13 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","381166","22"
"14 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","777986","43"
"15 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","675795","37"
"16 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","855939","34"
"17 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1025519","49"
"18 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","959066","44"
"19 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","932461","41"
"20 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","582760","27"
"21 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","529252","21"
"22 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","578093","35"
"23 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","729664","35"
"24 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","983729","44"
"25 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1218601","56"
"26 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","1044967","47"
"27 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","674677","36"
"28 September 2021","BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","638504","31"
