"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028001","2019-11-11 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028033","2019-11-11 00:00:00","1190000","71400","126140","1387540","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027970","2019-11-11 00:00:00","710000","42600","75260","827860","OVO"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028002","2019-11-11 00:00:00","289000","14739","26039","286428","CASH"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028034","2019-11-11 00:00:00","362000","21720","38372","422092","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027971","2019-11-11 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028003","2019-11-11 00:00:00","476000","28560","50456","555016","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028035","2019-11-11 00:00:00","221000","13260","23426","257686","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027972","2019-11-11 00:00:00","241000","14460","25546","281006","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028004","2019-11-11 00:00:00","398000","23880","42188","464068","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028036","2019-11-11 00:00:00","250000","15000","26500","291500","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027973","2019-11-11 00:00:00","338000","20280","35828","394108","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028005","2019-11-11 00:00:00","294000","17640","31164","342804","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027974","2019-11-11 00:00:00","321000","19260","34026","374286","EDC MANDIRI (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028006","2019-11-11 00:00:00","796000","47760","84376","928136","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080027975","2019-11-11 00:00:00","89000","5340","9434","103774","EDC BCA (m)"
"GYU-KAKU","GYU-KAKU NEO SOHO","153060110004","1081605050057","A19080028007","2019-11-11 00:00:00","796000","47760","84376","928136","EDC BCA (m)"
